;yearmonth;code;hour;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month
90;200110;BA;1150;0.2838274932614553;1008.8387009472256;1013.8;1002.5;1414.3154034229829;24.79690026954177;21.06105121293801;30.2;21.1;24.4;16.7;82.34636118598382;77.88274932614556;80.21428571428571;80.06720430107526;6.322371967654985;2.2964959568733136;2001;10
91;200110;DF;1150;0.1822102425876011;886.6765498652292;891.8;880.9;1332.9536585365854;21.211994609164403;14.68921832884098;30.8;15.2;19.0;5.7;72.67789757412399;66.50269541778975;69.56469002695418;136.91263440860214;4.962264150943392;2.3880053908355814;2001;10
92;200110;GO;1150;0.2110749185667751;930.0200325732892;937.2;923.1;1387.655223880597;23.094299674267123;17.064820846905523;34.5;14.5;21.5;6.0;75.52610114192495;68.47389885807505;71.95276872964169;-1597.8299731182797;4.215566422167895;1.819869706840388;2001;10
93;200110;MS;1150;0.1383410138248847;955.0257485029936;981.7;927.4;1480.793797150042;24.01349608475358;16.485766927683116;36.8;12.8;23.1;-1.3;69.1524643021649;62.67065868263473;65.9382772915707;-135.11379928315412;5.150829493087562;2.4737448180561925;2001;10
94;200110;RJ;1150;0.1603260869565217;1011.0903532608696;1019.9;1002.6;1462.0778894472362;22.41711956521738;17.26222826086957;35.0;15.4;21.2;9.5;77.5625;72.37228260869566;75.02445652173913;56.86559139784946;5.188043478260865;2.537635869565217;2001;10
95;200110;RS;1150;0.0685314685314685;1007.9343618513328;1017.8;995.0;1236.520190023753;21.250698324022355;15.42643356643356;35.9;12.0;22.3;2.0;74.24895104895104;68.66153846153846;71.50558659217877;-235.5255376344086;5.826470588235297;2.1220979020979;2001;10
96;200110;SP;1150;0.2029649595687331;941.7454177897577;948.8;935.0;1480.5411764705882;22.204582210242595;14.975471698113196;35.1;13.3;22.6;3.3;70.73045822102426;64.29514824797843;67.4878706199461;129.25672043010752;4.966981132075473;1.9148247978436657;2001;10
97;200111;AM;1150;0.0877483443708609;1001.9440397350982;1007.4;996.1;1674.1744548286604;28.207615894039755;23.20406976744187;35.2;17.2;30.9;20.1;77.1964980544747;71.25291828793775;74.38372093023256;-1514.85;3.3120805369127537;1.2034883720930245;2001;11
98;200111;BA;1150;0.0838235294117647;1006.8556985294116;1011.9;1001.6;1727.2465753424658;25.973161764705864;21.428676470588226;30.7;22.6;25.9;18.6;78.56169429097606;74.24309392265194;76.45588235294117;-2380.9194444444443;5.806445672191519;2.028860294117647;2001;11
99;200111;DF;1150;0.2752941176470588;885.236470588237;889.2;879.6;1159.2244897959183;20.92638655462185;16.989579831932794;29.7;16.3;20.7;10.9;82.506734006734;76.32323232323232;79.59831932773109;-1561.5777777777778;4.904713804713806;2.224033613445378;2001;11
