state;month_x;number;id;code;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month_y
Amapa;Janeiro;2.0;AP201001;AP;0.5784366576819402;1009.89690026954;1013.9;1006.6;1040.7995012468823;25.06846361185986;23.04770889487876;31.7;21.0;26.3;19.9;91.25471698113208;87.03099730458221;89.20754716981132;64.73118279569893;3.6142857142857134;1.2132075471698107;2010;1
Amapa;Janeiro;0.0;AP201101;AP;0.6258411843876168;1008.648048452221;1013.7;1004.9;1054.9945409429286;24.308613728129192;22.38290713324361;31.6;20.2;26.6;18.7;91.95827725437417;87.49663526244953;89.74966352624496;105.93817204301077;3.282368775235536;1.040376850605652;2011;1
Amapa;Janeiro;30.0;AP201201;AP;0.6551075268817199;1009.7900537634406;1013.6;1006.5;858.0156716417908;24.323655913978463;22.76478494623652;31.3;21.4;26.2;19.7;93.45698924731182;89.18682795698925;91.39784946236558;107.3991935483871;3.019086021505378;0.9096774193548388;2012;1
Amapa;Janeiro;3.0;AP201301;AP;0.2873655913978494;1010.4377688172044;1014.3;1006.4;1082.3362282878409;25.09529569892473;22.751881720430102;31.7;21.1;28.3;18.3;88.88172043010752;86.05510752688173;87.48387096774194;73.60887096774194;3.728091397849465;1.2920698924731189;2013;1
Amapa;Janeiro;10.0;AP201401;AP;0.4303763440860208;1009.9391129032256;1014.1;1005.7;1202.6557620817846;25.337432795698906;22.59294354838708;32.9;20.2;29.2;16.9;87.12096774193549;84.20833333333333;85.70497311827957;112.61424731182797;4.148252688172049;1.528091397849459;2014;1
Amapa;Janeiro;14.0;AP201501;AP;0.0932705248990578;1010.4889636608364;1014.8;1006.1;1305.3587577639748;25.921332436069967;22.832974427994625;33.0;20.9;29.7;18.5;85.58344549125168;82.61978465679677;84.16419919246299;72.23252688172043;4.533983849259752;1.6632570659488537;2015;1
Amapa;Janeiro;19.0;AP201601;AP;0.1786290322580644;1010.530107526881;1015.1;1006.4;1177.7175092478426;26.041733870967693;22.82661290322581;33.3;19.5;28.9;18.1;84.77755376344086;81.7116935483871;83.28427419354838;125.26948924731182;4.677889784946237;1.6555779569892457;2016;1
Amapa;Janeiro;2.0;AP201701;AP;0.4665322580645171;1009.85685483871;1015.1;1004.9;1048.57512437811;25.32614247311828;23.00268817204299;32.3;20.2;26.4;18.5;89.66868279569893;85.71774193548387;87.79032258064517;137.44556451612902;3.6962365591397823;1.2702284946236564;2017;1
Amapa;Fevereiro;0.0;AP200902;AP;0.8594029850746268;1009.4304477611928;1012.9;1005.1;915.8697802197796;24.57671641791043;22.89835820895522;31.9;20.8;26.6;19.5;92.84328358208955;88.7044776119403;90.91641791044776;59.57738095238095;3.534477611940296;1.0962686567164164;2009;2
Amapa;Fevereiro;0.0;AP201002;AP;0.6437499999999997;1009.1141369047612;1013.3;1005.7;1132.914520547944;25.62425595238097;23.4638392857143;32.8;20.3;26.7;18.9;90.76934523809524;86.27083333333333;88.60119047619048;83.96279761904762;3.844345238095237;1.2482142857142844;2010;2
